question,category,top_similarity
I was charged twice for the same card payment.,in_domain,0.6341
My transfer has been pending for three days.,in_domain,0.6564
The ATM charged me but gave me no cash.,in_domain,0.5581
My PIN is blocked.,in_domain,0.6819
I lost my card and someone may have used it.,in_domain,0.498
My identity verification keeps failing.,in_domain,0.6346
The merchant refunded me but the money has not arrived.,in_domain,0.5608
When should this support case be escalated?,in_domain,0.7408
What is the weather tomorrow?,out_of_domain,0.0893
Who won the football match yesterday?,out_of_domain,0.1229
What is the capital of France?,out_of_domain,0.0957
How do I cook pasta?,out_of_domain,0.0291
What interest rate does NovaBank offer on savings accounts?,out_of_domain,0.6319
Can you recommend a good laptop?,out_of_domain,0.0562
What is the stock price of Apple?,out_of_domain,0.1925
Write me a birthday message.,out_of_domain,0.1228
