actual,predicted,count
why_verify_identity,verify_my_identity,13
virtual_card_not_working,get_disposable_virtual_card,6
declined_transfer,declined_card_payment,5
pending_transfer,balance_not_updated_after_bank_transfer,5
reverted_card_payment?,declined_card_payment,5
get_disposable_virtual_card,getting_virtual_card,5
card_arrival,card_delivery_estimate,4
fiat_currency_support,exchange_via_app,4
get_disposable_virtual_card,disposable_card_limits,4
balance_not_updated_after_bank_transfer,transfer_timing,4
wrong_exchange_rate_for_cash_withdrawal,card_payment_wrong_exchange_rate,4
transfer_into_account,topping_up_by_card,4
virtual_card_not_working,getting_virtual_card,4
card_acceptance,country_support,3
transfer_timing,balance_not_updated_after_bank_transfer,3
compromised_card,terminate_account,3
transfer_not_received_by_recipient,balance_not_updated_after_bank_transfer,3
compromised_card,card_not_working,3
verify_my_identity,why_verify_identity,3
card_delivery_estimate,card_arrival,3
transfer_fee_charged,card_payment_fee_charged,3
Refund_not_showing_up,reverted_card_payment?,3
pending_transfer,transfer_timing,3
top_up_by_bank_transfer_charge,transfer_fee_charged,3
pin_blocked,change_pin,3
receiving_money,exchange_via_app,3
balance_not_updated_after_bank_transfer,pending_transfer,3
balance_not_updated_after_bank_transfer,transfer_not_received_by_recipient,3
declined_card_payment,reverted_card_payment?,2
contactless_not_working,card_about_to_expire,2
topping_up_by_card,pending_top_up,2
change_pin,get_physical_card,2
exchange_via_app,fiat_currency_support,2
declined_transfer,failed_transfer,2
top_up_reverted,top_up_failed,2
direct_debit_payment_not_recognised,cash_withdrawal_not_recognised,2
supported_cards_and_currencies,fiat_currency_support,2
top_up_by_cash_or_cheque,topping_up_by_card,2
top_up_by_bank_transfer_charge,top_up_by_card_charge,2
exchange_charge,exchange_rate,2
Refund_not_showing_up,request_refund,2
topping_up_by_card,top_up_failed,2
why_verify_identity,unable_to_verify_identity,2
wrong_amount_of_cash_received,declined_cash_withdrawal,2
virtual_card_not_working,disposable_card_limits,2
virtual_card_not_working,card_not_working,2
cancel_transfer,request_refund,2
beneficiary_not_allowed,transfer_into_account,2
beneficiary_not_allowed,failed_transfer,2
card_payment_not_recognised,compromised_card,2
card_acceptance,supported_cards_and_currencies,2
card_swallowed,declined_cash_withdrawal,2
transfer_not_received_by_recipient,transfer_timing,2
wrong_exchange_rate_for_cash_withdrawal,cash_withdrawal_charge,1
top_up_by_bank_transfer_charge,transfer_into_account,1
visa_or_mastercard,card_acceptance,1
pending_top_up,top_up_by_cash_or_cheque,1
pending_top_up,top_up_reverted,1
top_up_by_bank_transfer_charge,top_up_by_cash_or_cheque,1
visa_or_mastercard,card_payment_not_recognised,1
supported_cards_and_currencies,topping_up_by_card,1
visa_or_mastercard,getting_spare_card,1
supported_cards_and_currencies,card_acceptance,1
reverted_card_payment?,direct_debit_payment_not_recognised,1
pin_blocked,card_not_working,1
pending_top_up,topping_up_by_card,1
visa_or_mastercard,supported_cards_and_currencies,1
request_refund,card_payment_fee_charged,1
top_up_by_card_charge,topping_up_by_card,1
wrong_exchange_rate_for_cash_withdrawal,exchange_charge,1
receiving_money,transfer_into_account,1
wrong_amount_of_cash_received,cash_withdrawal_not_recognised,1
pin_blocked,get_physical_card,1
pending_transfer,pending_card_payment,1
transfer_fee_charged,top_up_by_bank_transfer_charge,1
top_up_by_cash_or_cheque,supported_cards_and_currencies,1
top_up_by_cash_or_cheque,cash_withdrawal_charge,1
topping_up_by_card,cash_withdrawal_not_recognised,1
transfer_into_account,top_up_by_cash_or_cheque,1
topping_up_by_card,transfer_into_account,1
transfer_not_received_by_recipient,failed_transfer,1
topping_up_by_card,top_up_reverted,1
topping_up_by_card,top_up_limits,1
pending_cash_withdrawal,cash_withdrawal_not_recognised,1
transfer_timing,pending_transfer,1
topping_up_by_card,failed_transfer,1
unable_to_verify_identity,terminate_account,1
topping_up_by_card,direct_debit_payment_not_recognised,1
topping_up_by_card,compromised_card,1
unable_to_verify_identity,verify_my_identity,1
top_up_by_cash_or_cheque,declined_cash_withdrawal,1
top_up_reverted,transaction_charged_twice,1
unable_to_verify_identity,why_verify_identity,1
top_up_reverted,pending_top_up,1
top_up_reverted,declined_cash_withdrawal,1
top_up_limits,top_up_by_card_charge,1
verify_my_identity,edit_personal_details,1
top_up_failed,top_up_reverted,1
top_up_failed,pending_top_up,1
top_up_failed,declined_cash_withdrawal,1
top_up_failed,declined_card_payment,1
transfer_into_account,beneficiary_not_allowed,1
pending_cash_withdrawal,declined_cash_withdrawal,1
getting_spare_card,top_up_by_cash_or_cheque,1
pending_card_payment,transaction_charged_twice,1
cash_withdrawal_charge,card_payment_fee_charged,1
card_payment_not_recognised,transfer_not_received_by_recipient,1
card_payment_wrong_exchange_rate,card_payment_fee_charged,1
card_payment_wrong_exchange_rate,exchange_rate,1
card_payment_wrong_exchange_rate,reverted_card_payment?,1
card_swallowed,card_arrival,1
card_swallowed,card_not_working,1
card_swallowed,lost_or_stolen_card,1
cash_withdrawal_charge,wrong_exchange_rate_for_cash_withdrawal,1
pending_card_payment,reverted_card_payment?,1
cash_withdrawal_not_recognised,card_payment_not_recognised,1
compromised_card,age_limit,1
compromised_card,card_linking,1
contactless_not_working,declined_card_payment,1
contactless_not_working,pin_blocked,1
contactless_not_working,reverted_card_payment?,1
country_support,age_limit,1
card_payment_fee_charged,card_payment_not_recognised,1
card_not_working,pin_blocked,1
card_not_working,declined_card_payment,1
card_linking,card_arrival,1
activate_my_card,lost_or_stolen_card,1
atm_support,declined_cash_withdrawal,1
automatic_top_up,card_not_working,1
automatic_top_up,pending_top_up,1
automatic_top_up,top_up_limits,1
